9E,2007,22290
9E,2009,262973
9E,2010,261364
9E,2013,182132
AA,2001,55846
AA,2007,53472
AA,2009,551597
AA,2010,540963
AA,2011,538179
AA,2013,318092
AA,2014,132707
AQ,2001,5082
AQ,2007,3763
AS,2001,13002
AS,2007,13337
AS,2009,137322
AS,2010,136950
AS,2011,143726
AS,2013,94271
AS,2014,36667
B6,2007,15518
B6,2009,194336
B6,2010,201434
B6,2011,215970
B6,2013,144503
B6,2014,60182
CO,2001,29893
CO,2007,27381
CO,2009,258159
CO,2010,239271
CO,2011,245318
DL,2001,67821
DL,2007,41345
DL,2009,428007
DL,2010,732973
DL,2011,732331
DL,2013,457227
DL,2014,180224
EV,2007,25033
EV,2009,299000
EV,2010,319921
EV,2011,327845
EV,2013,455551
EV,2014,173956
F9,2007,8279
F9,2009,86989
F9,2010,81966
F9,2011,85485
F9,2013,45191
F9,2014,16971
FL,2007,21706
FL,2009,251415
FL,2010,248844
FL,2011,248703
FL,2013,108009
FL,2014,26940
HA,2007,4707
HA,2009,72920
HA,2010,67649
HA,2011,66740
HA,2013,43019
HA,2014,17510
HP,2001,17495
MQ,2001,42811
MQ,2007,46034
MQ,2009,437009
MQ,2010,436976
MQ,2011,448178
MQ,2013,263583
MQ,2014,99989
NW,2001,43275
NW,2007,33446
NW,2009,293133
OH,2007,19719
OH,2009,151774
OH,2010,147633
OO,2007,51029
OO,2009,547572
OO,2010,599620
OO,2011,587372
OO,2013,378043
OO,2014,148886
TW,2001,19427
UA,2001,59590
UA,2007,41235
UA,2009,377049
UA,2010,343081
UA,2011,311212
UA,2013,301937
UA,2014,118096
US,2001,57377
US,2007,40018
US,2009,413907
US,2010,407111
US,2011,408922
US,2013,244701
US,2014,102895
VX,2013,34391
VX,2014,13759
WN,2001,79079
WN,2007,100212
WN,2009,1132278
WN,2010,1124487
WN,2011,1155717
WN,2013,679428
WN,2014,277527
XE,2007,38320
XE,2009,310717
XE,2010,385077
XE,2011,413286
YV,2007,23148
YV,2009,244128
YV,2010,174797
YV,2011,156297
YV,2013,84760
clk: 122.390 ms
